rank,row,col,bf16_source,python_faithful,arle_cuda,cuda_vs_python_abs,cuda_vs_python_rel
0,1,3111,-0.0086669921875,-0.007843093015253544,-0.00787353515625,3.0442140996456146e-05,0.003881394863128662
1,6,1123,-0.01483154296875,-0.015685543417930603,-0.015625,6.054341793060303e-05,0.0038598228711634874
2,1,3422,0.015869140625,0.01568550243973732,0.015625,6.0502439737319946e-05,0.0038572202902287245
3,1,900,0.0076904296875,0.007904133759438992,0.0079345703125,3.0436553061008453e-05,0.00385071337223053
4,3,3682,0.014892578125,0.015808334574103355,0.015869140625,6.080605089664459e-05,0.003846455132588744
5,0,2541,0.0020904541015625,0.0019759521819651127,0.0019683837890625,7.568392902612686e-06,0.0038302510511130095
6,5,2951,-0.003875732421875,-0.003951881546527147,-0.003936767578125,1.5113968402147293e-05,0.003824499435722828
7,3,137,-0.0140380859375,-0.01580742374062538,-0.0157470703125,6.035342812538147e-05,0.0038180432748049498
8,7,1103,-0.006317138671875,-0.007842439226806164,-0.0078125,2.9939226806163788e-05,0.003817591117694974
9,2,3994,0.00457763671875,0.003982483875006437,0.00396728515625,1.5198718756437302e-05,0.003816391807049513
10,7,3240,0.0157470703125,0.015929820016026497,0.015869140625,6.067939102649689e-05,0.003809169866144657
11,5,354,0.000926971435546875,0.0019605844281613827,0.001953125,7.459428161382675e-06,0.0038046962581574917
12,1,564,0.003814697265625,0.0019912084098905325,0.001983642578125,7.565831765532494e-06,0.003799618221819401
13,3,1256,0.00811767578125,0.007843781262636185,0.00787353515625,2.9753893613815308e-05,0.003793309908360243
14,6,2213,0.0157470703125,0.016052432358264923,0.01611328125,6.0848891735076904e-05,0.0037906337529420853
15,3,4087,-0.006256103515625,-0.003921111114323139,-0.00390625,1.486111432313919e-05,0.0037900262977927923
16,6,2104,-0.007293701171875,-0.007843873463571072,-0.00787353515625,2.9661692678928375e-05,0.0037815107498317957
17,2,231,-0.0059814453125,-0.00802595168352127,-0.00799560546875,3.0346214771270752e-05,0.003781011328101158
18,0,991,0.0152587890625,0.01592935621738434,0.015869140625,6.021559238433838e-05,0.0037801647558808327
19,6,1104,-0.00299072265625,-0.003921070601791143,-0.00390625,1.4820601791143417e-05,0.0037797335535287857
20,3,1548,-0.002685546875,-0.0039219483733177185,-0.003936767578125,1.4819204807281494e-05,0.003778531216084957
21,6,2752,-0.0172119140625,-0.01568779908120632,-0.0157470703125,5.9271231293678284e-05,0.0037781738210469484
22,2,240,-0.008544921875,-0.007964645512402058,-0.0079345703125,3.0075199902057648e-05,0.0037760876584798098
23,7,1917,-0.0169677734375,-0.015809467062354088,-0.015869140625,5.967356264591217e-05,0.0037745460867881775
24,2,88,-0.0064697265625,-0.007842089049518108,-0.0078125,2.9589049518108368e-05,0.003773108124732971
25,2,2331,-0.003021240234375,-0.0020064697600901127,-0.0019989013671875,7.568392902612686e-06,0.0037719944957643747
26,4,3447,0.01025390625,0.00808711163699627,0.008056640625,3.0471011996269226e-05,0.0037678484804928303
27,1,1921,-0.000732421875,-0.0019605106208473444,-0.001953125,7.3856208473443985e-06,0.0037671923637390137
28,3,4091,-0.00110626220703125,-0.0010109017603099346,-0.00101470947265625,3.807712346315384e-06,0.003766649169847369
29,6,3179,0.016357421875,0.01593121699988842,0.0159912109375,5.9993937611579895e-05,0.0037658100482076406
30,0,1081,-0.003662109375,-0.003982275724411011,-0.00396728515625,1.4990568161010742e-05,0.0037643220275640488
31,6,1171,-0.00994873046875,-0.007842009887099266,-0.0078125,2.9509887099266052e-05,0.0037630514707416296
32,7,2632,-0.0164794921875,-0.015683932229876518,-0.015625,5.893222987651825e-05,0.0037574907764792442
33,5,1486,0.0078125,0.00808702502399683,0.008056640625,3.0384398996829987e-05,0.003757178783416748
34,3,1469,-0.0142822265625,-0.015688132494688034,-0.0157470703125,5.893781781196594e-05,0.0037568409461528063
35,1,2103,-0.0064697265625,-0.007841894403100014,-0.0078125,2.9394403100013733e-05,0.003748380346223712
36,4,3633,0.007659912109375,0.00802564900368452,0.00799560546875,3.004353493452072e-05,0.0037434399127960205
37,7,442,-0.00921630859375,-0.007844171486794949,-0.00787353515625,2.9363669455051422e-05,0.00374337425455451
38,3,3319,0.004302978515625,0.004043709021061659,0.004058837890625,1.512886956334114e-05,0.003741334890946746
39,5,30,0.00848388671875,0.00814808253198862,0.00811767578125,3.0406750738620758e-05,0.0037317676469683647
40,5,103,0.0152587890625,0.01617363654077053,0.01611328125,6.03552907705307e-05,0.0037317080423235893
41,4,1726,0.0030059814453125,0.004013347905129194,0.0040283203125,1.497240737080574e-05,0.00373065285384655
