1779354250
2026/05/21 17:04:10.739, 955, 14989, 0
1779354255
2026/05/21 17:04:15.770, 955, 14989, 0
1779354260
2026/05/21 17:04:20.803, 955, 14989, 0
1779354265
2026/05/21 17:04:25.836, 955, 14989, 0
1779354270
2026/05/21 17:04:30.867, 955, 14989, 0
1779354275
2026/05/21 17:04:35.903, 955, 14989, 0
1779354280
2026/05/21 17:04:40.937, 955, 14989, 0
1779354285
2026/05/21 17:04:45.971, 955, 14989, 0
1779354290
2026/05/21 17:04:51.006, 955, 14989, 0
1779354296
2026/05/21 17:04:56.040, 955, 14989, 0
1779354301
2026/05/21 17:05:01.073, 955, 14989, 0
1779354306
2026/05/21 17:05:06.104, 955, 14989, 0
1779354311
2026/05/21 17:05:11.133, 955, 14989, 0
1779354316
2026/05/21 17:05:16.163, 955, 14989, 0
1779354321
2026/05/21 17:05:21.198, 955, 14989, 0
1779354326
2026/05/21 17:05:26.231, 955, 14989, 0
1779354331
2026/05/21 17:05:31.262, 955, 14989, 0
1779354336
2026/05/21 17:05:36.294, 955, 14989, 0
1779354341
2026/05/21 17:05:41.325, 955, 14989, 0
1779354346
2026/05/21 17:05:46.359, 955, 14989, 0
1779354351
2026/05/21 17:05:51.390, 955, 14989, 0
1779354356
2026/05/21 17:05:56.422, 955, 14989, 0
1779354361
2026/05/21 17:06:01.459, 955, 14989, 0
1779354366
2026/05/21 17:06:06.489, 1182, 14762, 0
1779354371
2026/05/21 17:06:11.521, 1182, 14762, 0
1779354376
2026/05/21 17:06:16.552, 3694, 12250, 23
1779354381
2026/05/21 17:06:21.582, 7502, 8442, 26
1779354386
2026/05/21 17:06:26.617, 13766, 2178, 25
1779354391
2026/05/21 17:06:31.642, 13926, 2018, 21
1779354396
2026/05/21 17:06:36.672, 14502, 1442, 100
1779354401
2026/05/21 17:06:41.701, 14246, 1698, 70
1779354406
2026/05/21 17:06:46.730, 13990, 1954, 45
1779354411
2026/05/21 17:06:51.761, 14630, 1314, 1
1779354416
2026/05/21 17:06:56.790, 13990, 1954, 15
1779354421
2026/05/21 17:07:01.819, 14694, 1250, 0
1779354426
