timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 12:09:58.683, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:09:59.683, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:00.683, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:01.683, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:02.683, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:03.684, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:04.684, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:05.684, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:06.684, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:07.684, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:08.685, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:09.685, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:10.685, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:11.685, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:12.685, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:13.686, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:14.686, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:15.686, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:16.686, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:17.686, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:18.687, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:19.687, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:20.687, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:21.687, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:22.687, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:23.688, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:24.688, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:25.688, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:26.688, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:27.688, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:28.689, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:29.689, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:10:30.689, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:31.689, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:32.689, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:33.690, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:34.690, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:35.690, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:36.690, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:37.690, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:10:38.691, 1565 MiB, 14379 MiB, 15 %
2026/05/22 12:10:39.691, 2237 MiB, 13707 MiB, 0 %
2026/05/22 12:10:40.691, 4045 MiB, 11899 MiB, 0 %
2026/05/22 12:10:41.691, 8269 MiB, 7675 MiB, 50 %
2026/05/22 12:10:42.691, 10995 MiB, 4949 MiB, 0 %
2026/05/22 12:10:43.692, 12645 MiB, 3299 MiB, 100 %
2026/05/22 12:10:44.692, 12645 MiB, 3299 MiB, 100 %
2026/05/22 12:10:45.692, 12613 MiB, 3331 MiB, 14 %
2026/05/22 12:10:46.692, 12645 MiB, 3299 MiB, 4 %
2026/05/22 12:10:47.692, 12645 MiB, 3299 MiB, 89 %
2026/05/22 12:10:48.693, 12645 MiB, 3299 MiB, 57 %
2026/05/22 12:10:49.693, 12645 MiB, 3299 MiB, 49 %
2026/05/22 12:10:50.693, 12581 MiB, 3363 MiB, 3 %
2026/05/22 12:10:51.693, 12805 MiB, 3139 MiB, 3 %
2026/05/22 12:10:52.693, 13093 MiB, 2851 MiB, 4 %
2026/05/22 12:10:53.694, 13317 MiB, 2627 MiB, 10 %
2026/05/22 12:10:54.694, 13509 MiB, 2435 MiB, 11 %
2026/05/22 12:10:55.694, 13733 MiB, 2211 MiB, 17 %
2026/05/22 12:10:56.694, 13957 MiB, 1987 MiB, 17 %
2026/05/22 12:10:57.694, 14149 MiB, 1795 MiB, 100 %
2026/05/22 12:10:58.695, 14407 MiB, 1537 MiB, 7 %
2026/05/22 12:10:59.695, 14407 MiB, 1537 MiB, 1 %
2026/05/22 12:11:00.695, 14407 MiB, 1537 MiB, 1 %
2026/05/22 12:11:01.695, 14407 MiB, 1537 MiB, 3 %
2026/05/22 12:11:02.695, 12679 MiB, 3265 MiB, 39 %
2026/05/22 12:11:03.696, 12807 MiB, 3137 MiB, 29 %
2026/05/22 12:11:04.696, 12935 MiB, 3009 MiB, 24 %
2026/05/22 12:11:05.696, 13159 MiB, 2785 MiB, 27 %
2026/05/22 12:11:06.696, 13351 MiB, 2593 MiB, 39 %
2026/05/22 12:11:07.696, 13575 MiB, 2369 MiB, 34 %
2026/05/22 12:11:08.697, 13799 MiB, 2145 MiB, 22 %
2026/05/22 12:11:09.697, 13991 MiB, 1953 MiB, 19 %
2026/05/22 12:11:10.697, 14119 MiB, 1825 MiB, 2 %
2026/05/22 12:11:11.697, 14343 MiB, 1601 MiB, 1 %
2026/05/22 12:11:12.697, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:11:13.698, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:11:14.698, 12743 MiB, 3201 MiB, 11 %
2026/05/22 12:11:15.698, 12999 MiB, 2945 MiB, 11 %
2026/05/22 12:11:16.698, 13223 MiB, 2721 MiB, 9 %
2026/05/22 12:11:17.698, 13447 MiB, 2497 MiB, 13 %
2026/05/22 12:11:18.699, 13703 MiB, 2241 MiB, 13 %
2026/05/22 12:11:19.699, 13927 MiB, 2017 MiB, 20 %
2026/05/22 12:11:20.699, 14055 MiB, 1889 MiB, 2 %
2026/05/22 12:11:21.699, 14279 MiB, 1665 MiB, 1 %
2026/05/22 12:11:22.699, 14279 MiB, 1665 MiB, 0 %
2026/05/22 12:11:23.700, 14279 MiB, 1665 MiB, 1 %
2026/05/22 12:11:24.700, 12807 MiB, 3137 MiB, 34 %
2026/05/22 12:11:25.700, 12967 MiB, 2977 MiB, 31 %
2026/05/22 12:11:26.700, 13127 MiB, 2817 MiB, 26 %
2026/05/22 12:11:27.700, 13287 MiB, 2657 MiB, 23 %
2026/05/22 12:11:28.701, 13511 MiB, 2433 MiB, 49 %
2026/05/22 12:11:29.701, 13735 MiB, 2209 MiB, 96 %
2026/05/22 12:11:30.701, 13927 MiB, 2017 MiB, 7 %
2026/05/22 12:11:31.701, 13927 MiB, 2017 MiB, 1 %
2026/05/22 12:11:32.701, 13927 MiB, 2017 MiB, 0 %
2026/05/22 12:11:33.702, 12807 MiB, 3137 MiB, 8 %
2026/05/22 12:11:34.702, 13031 MiB, 2913 MiB, 18 %
2026/05/22 12:11:35.702, 13255 MiB, 2689 MiB, 12 %
2026/05/22 12:11:36.702, 13479 MiB, 2465 MiB, 13 %
2026/05/22 12:11:37.702, 13671 MiB, 2273 MiB, 21 %
2026/05/22 12:11:38.703, 13895 MiB, 2049 MiB, 33 %
2026/05/22 12:11:39.703, 14183 MiB, 1761 MiB, 18 %
2026/05/22 12:11:40.703, 14439 MiB, 1505 MiB, 2 %
2026/05/22 12:11:41.703, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:11:42.704, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:11:43.704, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:11:44.704, 12743 MiB, 3201 MiB, 31 %
2026/05/22 12:11:45.704, 12935 MiB, 3009 MiB, 27 %
2026/05/22 12:11:46.704, 13159 MiB, 2785 MiB, 27 %
2026/05/22 12:11:47.705, 13351 MiB, 2593 MiB, 26 %
2026/05/22 12:11:48.705, 13543 MiB, 2401 MiB, 25 %
2026/05/22 12:11:49.705, 13735 MiB, 2209 MiB, 22 %
2026/05/22 12:11:50.705, 13959 MiB, 1985 MiB, 21 %
2026/05/22 12:11:51.705, 14119 MiB, 1825 MiB, 100 %
2026/05/22 12:11:52.706, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:11:53.706, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:11:54.706, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:11:55.706, 12743 MiB, 3201 MiB, 30 %
2026/05/22 12:11:56.706, 12935 MiB, 3009 MiB, 26 %
2026/05/22 12:11:57.707, 13095 MiB, 2849 MiB, 24 %
2026/05/22 12:11:58.707, 13287 MiB, 2657 MiB, 33 %
2026/05/22 12:11:59.707, 13479 MiB, 2465 MiB, 26 %
2026/05/22 12:12:00.707, 13671 MiB, 2273 MiB, 20 %
2026/05/22 12:12:01.707, 13895 MiB, 2049 MiB, 48 %
2026/05/22 12:12:02.708, 14023 MiB, 1921 MiB, 100 %
2026/05/22 12:12:03.708, 14247 MiB, 1697 MiB, 0 %
2026/05/22 12:12:04.708, 14247 MiB, 1697 MiB, 1 %
2026/05/22 12:12:05.708, 14247 MiB, 1697 MiB, 1 %
2026/05/22 12:12:06.708, 12743 MiB, 3201 MiB, 26 %
2026/05/22 12:12:07.709, 12871 MiB, 3073 MiB, 51 %
2026/05/22 12:12:08.709, 13031 MiB, 2913 MiB, 27 %
2026/05/22 12:12:09.709, 13191 MiB, 2753 MiB, 25 %
2026/05/22 12:12:10.709, 13383 MiB, 2561 MiB, 21 %
2026/05/22 12:12:11.709, 13607 MiB, 2337 MiB, 25 %
2026/05/22 12:12:12.710, 13831 MiB, 2113 MiB, 20 %
2026/05/22 12:12:13.710, 14023 MiB, 1921 MiB, 2 %
2026/05/22 12:12:14.710, 14087 MiB, 1857 MiB, 0 %
2026/05/22 12:12:15.710, 14087 MiB, 1857 MiB, 1 %
2026/05/22 12:12:16.710, 12775 MiB, 3169 MiB, 0 %
2026/05/22 12:12:17.711, 12935 MiB, 3009 MiB, 10 %
2026/05/22 12:12:18.711, 13159 MiB, 2785 MiB, 11 %
2026/05/22 12:12:19.711, 13383 MiB, 2561 MiB, 28 %
2026/05/22 12:12:20.711, 13543 MiB, 2401 MiB, 22 %
2026/05/22 12:12:21.711, 13767 MiB, 2177 MiB, 50 %
2026/05/22 12:12:22.712, 13991 MiB, 1953 MiB, 17 %
2026/05/22 12:12:23.712, 14183 MiB, 1761 MiB, 100 %
2026/05/22 12:12:24.712, 14439 MiB, 1505 MiB, 7 %
2026/05/22 12:12:25.712, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:12:26.713, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:12:27.713, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:12:28.713, 12807 MiB, 3137 MiB, 19 %
2026/05/22 12:12:29.713, 12999 MiB, 2945 MiB, 26 %
2026/05/22 12:12:30.713, 13191 MiB, 2753 MiB, 22 %
2026/05/22 12:12:31.714, 13383 MiB, 2561 MiB, 54 %
2026/05/22 12:12:32.714, 13575 MiB, 2369 MiB, 46 %
2026/05/22 12:12:33.714, 13799 MiB, 2145 MiB, 51 %
2026/05/22 12:12:34.714, 13959 MiB, 1985 MiB, 100 %
2026/05/22 12:12:35.714, 14183 MiB, 1761 MiB, 0 %
2026/05/22 12:12:36.715, 14183 MiB, 1761 MiB, 0 %
2026/05/22 12:12:37.715, 14183 MiB, 1761 MiB, 1 %
2026/05/22 12:12:38.715, 12839 MiB, 3105 MiB, 20 %
2026/05/22 12:12:39.715, 12967 MiB, 2977 MiB, 29 %
2026/05/22 12:12:40.715, 13159 MiB, 2785 MiB, 21 %
2026/05/22 12:12:41.716, 13319 MiB, 2625 MiB, 25 %
2026/05/22 12:12:42.716, 13511 MiB, 2433 MiB, 21 %
2026/05/22 12:12:43.716, 13671 MiB, 2273 MiB, 26 %
2026/05/22 12:12:44.716, 13895 MiB, 2049 MiB, 18 %
2026/05/22 12:12:45.716, 14151 MiB, 1793 MiB, 94 %
2026/05/22 12:12:46.717, 14439 MiB, 1505 MiB, 2 %
2026/05/22 12:12:47.717, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:12:48.717, 14439 MiB, 1505 MiB, 1 %
2026/05/22 12:12:49.717, 14439 MiB, 1505 MiB, 1 %
2026/05/22 12:12:50.717, 12775 MiB, 3169 MiB, 22 %
2026/05/22 12:12:51.718, 12935 MiB, 3009 MiB, 28 %
2026/05/22 12:12:52.718, 13127 MiB, 2817 MiB, 35 %
2026/05/22 12:12:53.718, 13351 MiB, 2593 MiB, 22 %
2026/05/22 12:12:54.718, 13543 MiB, 2401 MiB, 18 %
2026/05/22 12:12:55.718, 13767 MiB, 2177 MiB, 22 %
2026/05/22 12:12:56.719, 14023 MiB, 1921 MiB, 95 %
2026/05/22 12:12:57.719, 14247 MiB, 1697 MiB, 8 %
2026/05/22 12:12:58.719, 14247 MiB, 1697 MiB, 0 %
2026/05/22 12:12:59.719, 14247 MiB, 1697 MiB, 0 %
2026/05/22 12:13:00.719, 12711 MiB, 3233 MiB, 0 %
2026/05/22 12:13:01.720, 12871 MiB, 3073 MiB, 8 %
2026/05/22 12:13:02.720, 13095 MiB, 2849 MiB, 9 %
2026/05/22 12:13:03.720, 13319 MiB, 2625 MiB, 13 %
2026/05/22 12:13:04.720, 13543 MiB, 2401 MiB, 19 %
2026/05/22 12:13:05.720, 13767 MiB, 2177 MiB, 19 %
2026/05/22 12:13:06.721, 13959 MiB, 1985 MiB, 17 %
2026/05/22 12:13:07.721, 14215 MiB, 1729 MiB, 86 %
2026/05/22 12:13:08.721, 14503 MiB, 1441 MiB, 1 %
2026/05/22 12:13:09.721, 14503 MiB, 1441 MiB, 0 %
2026/05/22 12:13:10.721, 14503 MiB, 1441 MiB, 0 %
2026/05/22 12:13:11.722, 14503 MiB, 1441 MiB, 0 %
2026/05/22 12:13:12.722, 12743 MiB, 3201 MiB, 21 %
2026/05/22 12:13:13.722, 12935 MiB, 3009 MiB, 15 %
2026/05/22 12:13:14.722, 13095 MiB, 2849 MiB, 53 %
2026/05/22 12:13:15.722, 13319 MiB, 2625 MiB, 27 %
2026/05/22 12:13:16.723, 13511 MiB, 2433 MiB, 18 %
2026/05/22 12:13:17.723, 13735 MiB, 2209 MiB, 21 %
2026/05/22 12:13:18.723, 13959 MiB, 1985 MiB, 100 %
2026/05/22 12:13:19.723, 14215 MiB, 1729 MiB, 7 %
2026/05/22 12:13:20.723, 14215 MiB, 1729 MiB, 0 %
2026/05/22 12:13:21.724, 14215 MiB, 1729 MiB, 1 %
2026/05/22 12:13:22.724, 12743 MiB, 3201 MiB, 49 %
2026/05/22 12:13:23.724, 12839 MiB, 3105 MiB, 27 %
2026/05/22 12:13:24.724, 13031 MiB, 2913 MiB, 36 %
2026/05/22 12:13:25.724, 13223 MiB, 2721 MiB, 24 %
2026/05/22 12:13:26.725, 13383 MiB, 2561 MiB, 26 %
2026/05/22 12:13:27.725, 13607 MiB, 2337 MiB, 18 %
2026/05/22 12:13:28.725, 13831 MiB, 2113 MiB, 21 %
2026/05/22 12:13:29.725, 14087 MiB, 1857 MiB, 18 %
2026/05/22 12:13:30.725, 14151 MiB, 1793 MiB, 2 %
2026/05/22 12:13:31.726, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:13:32.726, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:13:33.726, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:13:34.726, 12743 MiB, 3201 MiB, 30 %
2026/05/22 12:13:35.726, 12935 MiB, 3009 MiB, 55 %
2026/05/22 12:13:36.727, 13095 MiB, 2849 MiB, 24 %
2026/05/22 12:13:37.727, 13287 MiB, 2657 MiB, 21 %
2026/05/22 12:13:38.727, 13479 MiB, 2465 MiB, 18 %
2026/05/22 12:13:39.727, 13671 MiB, 2273 MiB, 19 %
2026/05/22 12:13:40.728, 13895 MiB, 2049 MiB, 19 %
2026/05/22 12:13:41.728, 14183 MiB, 1761 MiB, 17 %
2026/05/22 12:13:42.728, 14215 MiB, 1729 MiB, 2 %
2026/05/22 12:13:43.728, 14439 MiB, 1505 MiB, 1 %
2026/05/22 12:13:44.728, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:13:45.729, 14439 MiB, 1505 MiB, 1 %
2026/05/22 12:13:46.729, 12679 MiB, 3265 MiB, 51 %
2026/05/22 12:13:47.729, 12871 MiB, 3073 MiB, 28 %
2026/05/22 12:13:48.729, 13031 MiB, 2913 MiB, 53 %
2026/05/22 12:13:49.729, 13223 MiB, 2721 MiB, 22 %
2026/05/22 12:13:50.730, 13447 MiB, 2497 MiB, 28 %
2026/05/22 12:13:51.730, 13639 MiB, 2305 MiB, 18 %
2026/05/22 12:13:52.730, 13863 MiB, 2081 MiB, 51 %
2026/05/22 12:13:53.730, 14151 MiB, 1793 MiB, 17 %
2026/05/22 12:13:54.730, 14215 MiB, 1729 MiB, 2 %
2026/05/22 12:13:55.731, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:13:56.731, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:13:57.731, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:13:58.731, 12711 MiB, 3233 MiB, 18 %
2026/05/22 12:13:59.731, 12935 MiB, 3009 MiB, 16 %
2026/05/22 12:14:00.732, 13095 MiB, 2849 MiB, 22 %
2026/05/22 12:14:01.732, 13287 MiB, 2657 MiB, 21 %
2026/05/22 12:14:02.732, 13511 MiB, 2433 MiB, 21 %
2026/05/22 12:14:03.732, 13703 MiB, 2241 MiB, 17 %
2026/05/22 12:14:04.732, 13927 MiB, 2017 MiB, 21 %
2026/05/22 12:14:05.732, 14119 MiB, 1825 MiB, 100 %
2026/05/22 12:14:06.733, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:07.733, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:08.733, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:09.733, 12743 MiB, 3201 MiB, 31 %
2026/05/22 12:14:10.733, 12839 MiB, 3105 MiB, 30 %
2026/05/22 12:14:11.734, 12999 MiB, 2945 MiB, 51 %
2026/05/22 12:14:12.734, 13159 MiB, 2785 MiB, 25 %
2026/05/22 12:14:13.734, 13415 MiB, 2529 MiB, 20 %
2026/05/22 12:14:14.734, 13607 MiB, 2337 MiB, 18 %
2026/05/22 12:14:15.734, 13799 MiB, 2145 MiB, 26 %
2026/05/22 12:14:16.735, 14023 MiB, 1921 MiB, 100 %
2026/05/22 12:14:17.735, 14247 MiB, 1697 MiB, 8 %
2026/05/22 12:14:18.735, 14247 MiB, 1697 MiB, 0 %
2026/05/22 12:14:19.735, 14247 MiB, 1697 MiB, 0 %
2026/05/22 12:14:20.735, 12711 MiB, 3233 MiB, 1 %
2026/05/22 12:14:21.736, 12807 MiB, 3137 MiB, 33 %
2026/05/22 12:14:22.736, 12935 MiB, 3009 MiB, 32 %
2026/05/22 12:14:23.736, 13127 MiB, 2817 MiB, 26 %
2026/05/22 12:14:24.736, 13287 MiB, 2657 MiB, 25 %
2026/05/22 12:14:25.736, 13479 MiB, 2465 MiB, 52 %
2026/05/22 12:14:26.737, 13703 MiB, 2241 MiB, 95 %
2026/05/22 12:14:27.737, 13927 MiB, 2017 MiB, 0 %
2026/05/22 12:14:28.737, 13927 MiB, 2017 MiB, 0 %
2026/05/22 12:14:29.737, 13927 MiB, 2017 MiB, 0 %
2026/05/22 12:14:30.737, 12839 MiB, 3105 MiB, 12 %
2026/05/22 12:14:31.738, 13063 MiB, 2881 MiB, 11 %
2026/05/22 12:14:32.738, 13287 MiB, 2657 MiB, 15 %
2026/05/22 12:14:33.738, 13511 MiB, 2433 MiB, 14 %
2026/05/22 12:14:34.738, 13735 MiB, 2209 MiB, 19 %
2026/05/22 12:14:35.738, 13927 MiB, 2017 MiB, 26 %
2026/05/22 12:14:36.739, 14183 MiB, 1761 MiB, 100 %
2026/05/22 12:14:37.739, 14439 MiB, 1505 MiB, 2 %
2026/05/22 12:14:38.739, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:14:39.739, 14439 MiB, 1505 MiB, 1 %
2026/05/22 12:14:40.739, 14439 MiB, 1505 MiB, 0 %
2026/05/22 12:14:41.740, 12807 MiB, 3137 MiB, 21 %
2026/05/22 12:14:42.740, 12999 MiB, 2945 MiB, 28 %
2026/05/22 12:14:43.740, 13191 MiB, 2753 MiB, 46 %
2026/05/22 12:14:44.740, 13415 MiB, 2529 MiB, 54 %
2026/05/22 12:14:45.740, 13575 MiB, 2369 MiB, 52 %
2026/05/22 12:14:46.740, 13799 MiB, 2145 MiB, 39 %
2026/05/22 12:14:47.741, 14087 MiB, 1857 MiB, 22 %
2026/05/22 12:14:48.741, 14151 MiB, 1793 MiB, 2 %
2026/05/22 12:14:49.741, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:50.741, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:51.741, 14343 MiB, 1601 MiB, 0 %
2026/05/22 12:14:52.742, 12775 MiB, 3169 MiB, 30 %
2026/05/22 12:14:53.742, 12903 MiB, 3041 MiB, 25 %
2026/05/22 12:14:54.742, 13063 MiB, 2881 MiB, 24 %
2026/05/22 12:14:55.742, 13255 MiB, 2689 MiB, 21 %
2026/05/22 12:14:56.742, 13511 MiB, 2433 MiB, 25 %
