name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,15126,240.11813400000037,0.015874529551765198
cuMemAllocAsync,8480,97.4869180000001,0.01149609882075473
cuMemsetD8Async,4328,64.95003799999984,0.015006940388170017
cuMemcpyHtoDAsync_v2,2760,43.917007999999946,0.015911959420289834
cudaEventRecord_v3020,2760,32.22684700000003,0.01167639384057972
cudaStreamGetCaptureInfo_v2_v11030,4512,25.84042399999988,0.0057270443262411085
cudaStreamWaitEvent_v3020,2064,23.32063400000004,0.011298756782945757
cuLaunchKernelEx,1032,16.386091999999987,0.015877996124030996
cuMemFreeAsync,1328,12.86215399999999,0.009685356927710836
cuMemcpyDtoDAsync_v2,360,6.550438000000003,0.01819566111111112
cudaGetFuncBySymbol_v11000,1032,5.220317000000002,0.005058446705426359
