2026-05-21T20:53:09+08:00
2026/05/21 20:53:09.996, 955, 16376, 0, 11.13
2026-05-21T20:53:12+08:00
2026/05/21 20:53:12.031, 955, 16376, 0, 11.13
2026-05-21T20:53:14+08:00
2026/05/21 20:53:14.066, 955, 16376, 0, 11.12
2026-05-21T20:53:16+08:00
2026/05/21 20:53:16.103, 955, 16376, 0, 11.12
2026-05-21T20:53:18+08:00
2026/05/21 20:53:18.136, 955, 16376, 0, 11.12
2026-05-21T20:53:20+08:00
2026/05/21 20:53:20.174, 955, 16376, 0, 11.12
2026-05-21T20:53:22+08:00
2026/05/21 20:53:22.209, 955, 16376, 0, 11.12
2026-05-21T20:53:24+08:00
2026/05/21 20:53:24.241, 955, 16376, 0, 11.13
2026-05-21T20:53:26+08:00
2026/05/21 20:53:26.274, 955, 16376, 0, 11.17
2026-05-21T20:53:28+08:00
2026/05/21 20:53:28.309, 955, 16376, 0, 11.17
2026-05-21T20:53:30+08:00
2026/05/21 20:53:30.343, 955, 16376, 0, 11.17
2026-05-21T20:53:32+08:00
2026/05/21 20:53:32.378, 955, 16376, 0, 11.18
2026-05-21T20:53:34+08:00
2026/05/21 20:53:34.415, 955, 16376, 0, 11.14
2026-05-21T20:53:36+08:00
2026/05/21 20:53:36.451, 955, 16376, 0, 11.18
2026-05-21T20:53:38+08:00
2026/05/21 20:53:38.484, 955, 16376, 0, 11.16
2026-05-21T20:53:40+08:00
2026/05/21 20:53:40.519, 955, 16376, 0, 11.21
2026-05-21T20:53:42+08:00
2026/05/21 20:53:42.555, 955, 16376, 0, 11.44
2026-05-21T20:53:44+08:00
2026/05/21 20:53:44.592, 955, 16376, 0, 11.17
2026-05-21T20:53:46+08:00
2026/05/21 20:53:46.628, 955, 16376, 0, 11.12
2026-05-21T20:53:48+08:00
2026/05/21 20:53:48.665, 955, 16376, 0, 11.12
2026-05-21T20:53:50+08:00
2026/05/21 20:53:50.700, 955, 16376, 0, 11.12
2026-05-21T20:53:52+08:00
2026/05/21 20:53:52.739, 955, 16376, 0, 11.13
2026-05-21T20:53:54+08:00
2026/05/21 20:53:54.778, 955, 16376, 0, 11.12
2026-05-21T20:53:56+08:00
2026/05/21 20:53:56.816, 955, 16376, 0, 11.12
2026-05-21T20:53:58+08:00
2026/05/21 20:53:58.853, 955, 16376, 0, 11.13
2026-05-21T20:54:00+08:00
2026/05/21 20:54:00.888, 955, 16376, 0, 11.12
2026-05-21T20:54:02+08:00
2026/05/21 20:54:02.923, 955, 16376, 0, 11.16
2026-05-21T20:54:04+08:00
2026/05/21 20:54:04.961, 955, 16376, 0, 11.12
2026-05-21T20:54:06+08:00
2026/05/21 20:54:06.996, 955, 16376, 0, 11.15
2026-05-21T20:54:09+08:00
2026/05/21 20:54:09.033, 955, 16376, 0, 11.19
2026-05-21T20:54:11+08:00
2026/05/21 20:54:11.071, 955, 16376, 0, 11.14
2026-05-21T20:54:13+08:00
2026/05/21 20:54:13.107, 955, 16376, 0, 11.20
2026-05-21T20:54:15+08:00
2026/05/21 20:54:15.140, 955, 16376, 0, 11.17
2026-05-21T20:54:17+08:00
2026/05/21 20:54:17.173, 955, 16376, 0, 11.22
2026-05-21T20:54:19+08:00
2026/05/21 20:54:19.208, 955, 16376, 0, 11.36
2026-05-21T20:54:21+08:00
2026/05/21 20:54:21.241, 955, 16376, 0, 11.15
2026-05-21T20:54:23+08:00
2026/05/21 20:54:23.277, 955, 16376, 0, 11.12
2026-05-21T20:54:25+08:00
2026/05/21 20:54:25.312, 955, 16376, 0, 11.11
2026-05-21T20:54:27+08:00
2026/05/21 20:54:27.349, 955, 16376, 0, 11.11
2026-05-21T20:54:29+08:00
2026/05/21 20:54:29.384, 955, 16376, 0, 11.12
2026-05-21T20:54:31+08:00
2026/05/21 20:54:31.419, 955, 16376, 0, 11.11
2026-05-21T20:54:33+08:00
2026/05/21 20:54:33.453, 955, 16376, 0, 11.11
2026-05-21T20:54:35+08:00
2026/05/21 20:54:35.487, 955, 16376, 0, 11.12
2026-05-21T20:54:37+08:00
2026/05/21 20:54:37.524, 955, 16376, 0, 11.13
2026-05-21T20:54:39+08:00
2026/05/21 20:54:39.559, 955, 16376, 0, 11.16
2026-05-21T20:54:41+08:00
2026/05/21 20:54:41.596, 955, 16376, 0, 11.14
2026-05-21T20:54:43+08:00
2026/05/21 20:54:43.633, 955, 16376, 0, 11.14
2026-05-21T20:54:45+08:00
2026/05/21 20:54:45.673, 955, 16376, 0, 11.17
2026-05-21T20:54:47+08:00
2026/05/21 20:54:47.710, 955, 16376, 0, 11.12
2026-05-21T20:54:49+08:00
2026/05/21 20:54:49.745, 955, 16376, 0, 11.19
2026-05-21T20:54:51+08:00
2026/05/21 20:54:51.781, 955, 16376, 0, 11.19
2026-05-21T20:54:53+08:00
2026/05/21 20:54:53.819, 955, 16376, 0, 11.25
2026-05-21T20:54:55+08:00
2026/05/21 20:54:55.856, 955, 16376, 0, 11.46
2026-05-21T20:54:57+08:00
2026/05/21 20:54:57.892, 955, 16376, 0, 11.19
2026-05-21T20:54:59+08:00
2026/05/21 20:54:59.929, 955, 16376, 0, 11.12
2026-05-21T20:55:01+08:00
2026/05/21 20:55:01.964, 955, 16376, 0, 11.12
2026-05-21T20:55:03+08:00
2026/05/21 20:55:03.997, 1182, 16376, 1, 11.12
2026-05-21T20:55:06+08:00
2026/05/21 20:55:06.029, 1182, 16376, 0, 11.13
2026-05-21T20:55:08+08:00
2026/05/21 20:55:08.064, 1182, 16376, 0, 11.12
2026-05-21T20:55:10+08:00
2026/05/21 20:55:10.101, 1182, 16376, 0, 11.14
2026-05-21T20:55:12+08:00
2026/05/21 20:55:12.135, 1182, 16376, 0, 11.13
2026-05-21T20:55:14+08:00
2026/05/21 20:55:14.169, 1262, 16376, 0, 11.14
2026-05-21T20:55:16+08:00
2026/05/21 20:55:16.204, 3214, 16376, 26, 11.25
2026-05-21T20:55:18+08:00
2026/05/21 20:55:18.240, 5166, 16376, 29, 11.14
2026-05-21T20:55:20+08:00
2026/05/21 20:55:20.275, 5326, 16376, 0, 11.17
2026-05-21T20:55:22+08:00
2026/05/21 20:55:22.309, 5486, 16376, 22, 11.20
2026-05-21T20:55:24+08:00
2026/05/21 20:55:24.341, 5550, 16376, 0, 11.14
2026-05-21T20:55:26+08:00
2026/05/21 20:55:26.375, 5710, 16376, 0, 11.20
2026-05-21T20:55:28+08:00
2026/05/21 20:55:28.410, 5774, 16376, 0, 11.17
2026-05-21T20:55:30+08:00
2026/05/21 20:55:30.441, 5774, 16376, 0, 11.32
2026-05-21T20:55:32+08:00
2026/05/21 20:55:32.471, 5806, 16376, 0, 11.46
2026-05-21T20:55:34+08:00
2026/05/21 20:55:34.504, 5998, 16376, 0, 11.15
2026-05-21T20:55:36+08:00
2026/05/21 20:55:36.539, 6190, 16376, 25, 11.13
2026-05-21T20:55:38+08:00
2026/05/21 20:55:38.572, 6254, 16376, 0, 11.13
2026-05-21T20:55:40+08:00
2026/05/21 20:55:40.607, 6414, 16376, 0, 11.12
2026-05-21T20:55:42+08:00
2026/05/21 20:55:42.641, 6478, 16376, 0, 11.14
2026-05-21T20:55:44+08:00
2026/05/21 20:55:44.673, 6510, 16376, 2, 11.13
2026-05-21T20:55:46+08:00
2026/05/21 20:55:46.704, 6542, 16376, 0, 11.15
2026-05-21T20:55:48+08:00
2026/05/21 20:55:48.737, 6702, 16376, 0, 11.13
2026-05-21T20:55:50+08:00
2026/05/21 20:55:50.773, 6926, 16376, 0, 11.16
2026-05-21T20:55:52+08:00
2026/05/21 20:55:52.808, 6958, 16376, 0, 11.28
2026-05-21T20:55:54+08:00
2026/05/21 20:55:54.843, 7150, 16376, 8, 11.16
2026-05-21T20:55:56+08:00
2026/05/21 20:55:56.877, 7182, 16376, 0, 11.24
2026-05-21T20:55:58+08:00
2026/05/21 20:55:58.911, 7214, 16376, 0, 11.25
2026-05-21T20:56:00+08:00
2026/05/21 20:56:00.941, 7246, 16376, 4, 11.15
2026-05-21T20:56:02+08:00
2026/05/21 20:56:02.975, 7406, 16376, 0, 11.25
2026-05-21T20:56:04+08:00
2026/05/21 20:56:05.009, 7630, 16376, 27, 11.19
2026-05-21T20:56:07+08:00
2026/05/21 20:56:07.044, 7662, 16376, 0, 11.38
2026-05-21T20:56:09+08:00
2026/05/21 20:56:09.077, 7854, 16376, 0, 11.55
2026-05-21T20:56:11+08:00
2026/05/21 20:56:11.109, 7886, 16376, 0, 11.17
2026-05-21T20:56:13+08:00
2026/05/21 20:56:13.140, 7918, 16376, 2, 11.13
2026-05-21T20:56:15+08:00
2026/05/21 20:56:15.169, 7950, 16376, 0, 11.12
2026-05-21T20:56:17+08:00
2026/05/21 20:56:17.200, 8142, 16376, 0, 11.12
2026-05-21T20:56:19+08:00
2026/05/21 20:56:19.233, 8334, 16376, 0, 11.13
2026-05-21T20:56:21+08:00
2026/05/21 20:56:21.267, 8398, 16376, 0, 11.12
2026-05-21T20:56:23+08:00
2026/05/21 20:56:23.302, 8558, 16376, 9, 11.12
2026-05-21T20:56:25+08:00
2026/05/21 20:56:25.336, 8622, 16376, 0, 11.13
2026-05-21T20:56:27+08:00
2026/05/21 20:56:27.368, 8622, 16376, 0, 11.13
2026-05-21T20:56:29+08:00
2026/05/21 20:56:29.400, 8654, 16376, 9, 11.21
2026-05-21T20:56:31+08:00
2026/05/21 20:56:31.432, 8846, 16376, 0, 11.16
2026-05-21T20:56:33+08:00
2026/05/21 20:56:33.467, 8974, 16376, 0, 11.18
2026-05-21T20:56:35+08:00
