timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 12:56:44.103, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:45.103, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:46.103, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:47.103, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:48.103, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:49.104, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:50.104, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:51.104, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:52.104, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:53.107, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:54.107, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:55.107, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:56.108, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:57.108, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:58.108, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:56:59.109, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:00.109, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:01.109, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:02.109, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:03.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:04.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:05.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:06.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:07.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:08.110, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:09.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:10.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:11.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:12.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:13.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:14.111, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:15.112, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:16.112, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:17.112, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:18.112, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:19.112, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:20.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:21.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:22.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:23.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:24.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:25.113, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:26.114, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:27.114, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:28.114, 1082 MiB, 14862 MiB, 0 %
2026/05/22 12:57:29.114, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:30.114, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:31.114, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:32.115, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:33.115, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:34.115, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:35.115, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:36.115, 1309 MiB, 14635 MiB, 0 %
2026/05/22 12:57:37.115, 2749 MiB, 13195 MiB, 0 %
2026/05/22 12:57:38.116, 4845 MiB, 11099 MiB, 99 %
2026/05/22 12:57:39.116, 9805 MiB, 6139 MiB, 43 %
2026/05/22 12:57:40.116, 12513 MiB, 3431 MiB, 0 %
2026/05/22 12:57:41.116, 12645 MiB, 3299 MiB, 81 %
2026/05/22 12:57:42.116, 12645 MiB, 3299 MiB, 65 %
2026/05/22 12:57:43.116, 12613 MiB, 3331 MiB, 72 %
2026/05/22 12:57:44.117, 12613 MiB, 3331 MiB, 37 %
2026/05/22 12:57:45.117, 12677 MiB, 3267 MiB, 43 %
2026/05/22 12:57:46.117, 12645 MiB, 3299 MiB, 97 %
2026/05/22 12:57:47.117, 12645 MiB, 3299 MiB, 11 %
2026/05/22 12:57:48.117, 12613 MiB, 3331 MiB, 3 %
2026/05/22 12:57:49.117, 12901 MiB, 3043 MiB, 3 %
2026/05/22 12:57:50.118, 13125 MiB, 2819 MiB, 8 %
2026/05/22 12:57:51.118, 13383 MiB, 2561 MiB, 2 %
2026/05/22 12:57:52.118, 13383 MiB, 2561 MiB, 4 %
2026/05/22 12:57:53.118, 13383 MiB, 2561 MiB, 4 %
2026/05/22 12:57:54.118, 12679 MiB, 3265 MiB, 4 %
2026/05/22 12:57:55.119, 12807 MiB, 3137 MiB, 44 %
2026/05/22 12:57:56.119, 12999 MiB, 2945 MiB, 25 %
2026/05/22 12:57:57.119, 13191 MiB, 2753 MiB, 20 %
2026/05/22 12:57:58.119, 13383 MiB, 2561 MiB, 0 %
2026/05/22 12:57:59.119, 13383 MiB, 2561 MiB, 0 %
2026/05/22 12:58:00.120, 12711 MiB, 3233 MiB, 0 %
2026/05/22 12:58:01.120, 12871 MiB, 3073 MiB, 31 %
2026/05/22 12:58:02.120, 13031 MiB, 2913 MiB, 46 %
2026/05/22 12:58:03.120, 13191 MiB, 2753 MiB, 100 %
2026/05/22 12:58:04.120, 13319 MiB, 2625 MiB, 0 %
2026/05/22 12:58:05.121, 13319 MiB, 2625 MiB, 1 %
2026/05/22 12:58:06.121, 12711 MiB, 3233 MiB, 14 %
2026/05/22 12:58:07.121, 12935 MiB, 3009 MiB, 11 %
2026/05/22 12:58:08.121, 13127 MiB, 2817 MiB, 3 %
2026/05/22 12:58:09.121, 13127 MiB, 2817 MiB, 0 %
2026/05/22 12:58:10.122, 12711 MiB, 3233 MiB, 7 %
2026/05/22 12:58:11.122, 12935 MiB, 3009 MiB, 8 %
2026/05/22 12:58:12.122, 13255 MiB, 2689 MiB, 8 %
2026/05/22 12:58:13.122, 13415 MiB, 2529 MiB, 7 %
2026/05/22 12:58:14.122, 13415 MiB, 2529 MiB, 1 %
2026/05/22 12:58:15.122, 13415 MiB, 2529 MiB, 1 %
2026/05/22 12:58:16.123, 12775 MiB, 3169 MiB, 11 %
2026/05/22 12:58:17.123, 13031 MiB, 2913 MiB, 10 %
2026/05/22 12:58:18.123, 13191 MiB, 2753 MiB, 100 %
2026/05/22 12:58:19.123, 13351 MiB, 2593 MiB, 0 %
2026/05/22 12:58:20.123, 13351 MiB, 2593 MiB, 1 %
2026/05/22 12:58:21.123, 12775 MiB, 3169 MiB, 9 %
2026/05/22 12:58:22.124, 12999 MiB, 2945 MiB, 10 %
2026/05/22 12:58:23.124, 13191 MiB, 2753 MiB, 52 %
2026/05/22 12:58:24.124, 13319 MiB, 2625 MiB, 0 %
2026/05/22 12:58:25.124, 13319 MiB, 2625 MiB, 0 %
2026/05/22 12:58:26.124, 12711 MiB, 3233 MiB, 20 %
2026/05/22 12:58:27.125, 12871 MiB, 3073 MiB, 18 %
2026/05/22 12:58:28.125, 13095 MiB, 2849 MiB, 25 %
2026/05/22 12:58:29.125, 13223 MiB, 2721 MiB, 7 %
2026/05/22 12:58:30.125, 13223 MiB, 2721 MiB, 0 %
2026/05/22 12:58:31.125, 12711 MiB, 3233 MiB, 13 %
2026/05/22 12:58:32.125, 12903 MiB, 3041 MiB, 16 %
2026/05/22 12:58:33.126, 13095 MiB, 2849 MiB, 14 %
2026/05/22 12:58:34.126, 13255 MiB, 2689 MiB, 100 %
2026/05/22 12:58:35.126, 13415 MiB, 2529 MiB, 0 %
2026/05/22 12:58:36.126, 13415 MiB, 2529 MiB, 0 %
