timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 13:58:59.369, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:04.373, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:09.373, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:14.374, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:19.374, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:24.375, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:59:29.375, 13177 MiB, 2767 MiB, 100 %
2026/05/22 13:59:34.376, 13177 MiB, 2767 MiB, 100 %
2026/05/22 13:59:39.376, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:59:44.376, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:59:49.377, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:59:54.377, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:59:59.378, 13241 MiB, 2703 MiB, 100 %
2026/05/22 14:00:04.378, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:00:09.379, 13209 MiB, 2735 MiB, 96 %
2026/05/22 14:00:14.379, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:00:19.380, 13241 MiB, 2703 MiB, 100 %
2026/05/22 14:00:24.380, 13209 MiB, 2735 MiB, 60 %
2026/05/22 14:00:29.381, 13241 MiB, 2703 MiB, 97 %
2026/05/22 14:00:34.381, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:00:39.381, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:00:44.382, 13241 MiB, 2703 MiB, 100 %
2026/05/22 14:00:49.382, 13209 MiB, 2735 MiB, 98 %
2026/05/22 14:00:54.383, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:00:59.383, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:04.384, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:09.384, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:14.384, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:19.385, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:24.385, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:29.386, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:34.386, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:39.387, 13209 MiB, 2735 MiB, 97 %
2026/05/22 14:01:44.387, 13177 MiB, 2767 MiB, 0 %
2026/05/22 14:01:49.387, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:54.388, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:01:59.388, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:04.389, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:09.389, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:14.390, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:19.390, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:24.390, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:29.391, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:34.391, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:39.392, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:44.392, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:49.393, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:54.393, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:02:59.394, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:04.394, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:09.394, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:14.395, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:19.395, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:24.396, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:29.396, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:34.397, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:39.397, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:44.398, 13209 MiB, 2735 MiB, 100 %
2026/05/22 14:03:49.398, 13209 MiB, 2735 MiB, 100 %
