name,calls,total_ms,avg_ms
cudaLaunchKernel_v7000,16176,219.94864199999856,0.013597220697329288
cuMemcpyDtoHAsync_v2,344,75.67034899999994,0.2199719447674417
cuMemAllocAsync,6760,63.594868000000105,0.009407524852071022
cuMemsetD8Async,3640,41.61078899999996,0.01143153543956043
cuMemFreeAsync,3048,34.625180000000015,0.011359967191601055
cudaEventRecord_v3020,2760,23.449716000000052,0.008496273913043497
cudaStreamGetCaptureInfo_v2_v11030,4512,20.00204200000001,0.004433076684397165
cudaStreamWaitEvent_v3020,2064,17.632822000000026,0.008543033914728694
cuMemcpyHtoDAsync_v2,1040,14.346119,0.013794345192307692
cuLaunchKernelEx,1032,13.524694,0.013105323643410853
cuMemcpyDtoDAsync_v2,360,5.015584000000006,0.013932177777777794
cudaGetFuncBySymbol_v11000,1032,3.725973000000003,0.0036104389534883747
