kind,calls,bytes,total_ms,avg_ms
Device-to-Host,344,44032,0.8333919999999996,0.0024226511627906963
Host-to-Device,1040,56448,0.8271380000000036,0.0007953250000000034
Device-to-Device,360,17260736,0.4748800000000001,0.0013191111111111114
