timestamp_ms,memory_used_mib,memory_total_mib,utilization_gpu_pct,power_draw_w,temperature_gpu_c
1779365352300,955, 16376, 0, 11.13, 35
1779365354338,955, 16376, 0, 11.12, 35
1779365356374,955, 16376, 0, 11.12, 35
1779365358411,955, 16376, 0, 11.14, 35
1779365360449,955, 16376, 0, 11.14, 35
1779365362485,955, 16376, 0, 11.13, 35
1779365364523,955, 16376, 0, 11.16, 35
1779365366557,955, 16376, 0, 11.14, 35
1779365368594,955, 16376, 0, 11.15, 35
1779365370630,955, 16376, 0, 11.14, 35
1779365372667,955, 16376, 0, 11.14, 35
1779365374705,955, 16376, 0, 11.23, 35
1779365376742,955, 16376, 0, 11.21, 35
1779365378778,955, 16376, 0, 11.11, 35
1779365380814,955, 16376, 0, 11.12, 35
1779365382850,955, 16376, 0, 11.12, 35
1779365384888,955, 16376, 0, 11.12, 35
1779365386926,955, 16376, 0, 11.11, 35
1779365388963,955, 16376, 0, 11.11, 35
1779365391001,955, 16376, 0, 11.12, 35
1779365393038,955, 16376, 0, 11.12, 35
1779365395072,955, 16376, 0, 11.14, 35
1779365397108,955, 16376, 0, 11.14, 35
1779365399144,955, 16376, 0, 11.12, 35
1779365401180,955, 16376, 0, 11.13, 35
1779365403216,955, 16376, 0, 11.12, 35
1779365405251,955, 16376, 0, 11.12, 35
1779365407288,955, 16376, 0, 11.13, 35
1779365409320,955, 16376, 0, 11.15, 35
1779365411357,955, 16376, 0, 11.32, 35
1779365413394,955, 16376, 0, 11.24, 35
1779365415433,955, 16376, 0, 11.11, 35
1779365417471,955, 16376, 0, 11.11, 35
1779365419508,955, 16376, 0, 11.11, 35
1779365421546,955, 16376, 0, 11.11, 35
1779365423580,955, 16376, 0, 11.11, 35
1779365425619,955, 16376, 0, 11.11, 35
1779365427657,955, 16376, 0, 11.11, 35
1779365429694,955, 16376, 0, 11.11, 35
1779365431730,955, 16376, 0, 11.13, 35
1779365433769,955, 16376, 0, 11.13, 35
1779365435806,955, 16376, 0, 11.13, 35
1779365437842,955, 16376, 0, 11.15, 35
1779365439878,955, 16376, 0, 11.14, 35
1779365441917,955, 16376, 0, 11.13, 35
1779365443955,955, 16376, 0, 11.13, 35
1779365445993,955, 16376, 0, 11.13, 35
1779365448030,955, 16376, 0, 11.28, 35
