timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 11:27:29.829, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:30.829, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:31.829, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:32.829, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:33.830, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:34.830, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:35.830, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:36.830, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:37.831, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:38.831, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:39.831, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:40.831, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:41.831, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:42.832, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:43.832, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:44.832, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:45.832, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:46.832, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:47.833, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:48.833, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:49.833, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:50.833, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:51.833, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:52.834, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:53.834, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:54.834, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:55.834, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:56.834, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:57.835, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:58.835, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:27:59.835, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:00.835, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:01.835, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:02.836, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:03.836, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:04.836, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:05.836, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:06.836, 1082 MiB, 14862 MiB, 0 %
2026/05/22 11:28:07.837, 1309 MiB, 14635 MiB, 1 %
2026/05/22 11:28:08.837, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:09.837, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:10.837, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:11.837, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:12.838, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:13.838, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:14.838, 1309 MiB, 14635 MiB, 0 %
2026/05/22 11:28:15.838, 1981 MiB, 13963 MiB, 0 %
2026/05/22 11:28:16.838, 4045 MiB, 11899 MiB, 0 %
2026/05/22 11:28:17.839, 4045 MiB, 11899 MiB, 7 %
2026/05/22 11:28:18.839, 4621 MiB, 11323 MiB, 16 %
2026/05/22 11:28:19.839, 5293 MiB, 10651 MiB, 11 %
2026/05/22 11:28:20.839, 6061 MiB, 9883 MiB, 25 %
2026/05/22 11:28:21.840, 6829 MiB, 9115 MiB, 25 %
2026/05/22 11:28:22.840, 7597 MiB, 8347 MiB, 24 %
2026/05/22 11:28:23.840, 8333 MiB, 7611 MiB, 22 %
2026/05/22 11:28:24.840, 9069 MiB, 6875 MiB, 26 %
2026/05/22 11:28:25.840, 9837 MiB, 6107 MiB, 26 %
2026/05/22 11:28:26.841, 10605 MiB, 5339 MiB, 27 %
2026/05/22 11:28:27.841, 10997 MiB, 4947 MiB, 0 %
2026/05/22 11:28:28.841, 12645 MiB, 3299 MiB, 19 %
2026/05/22 11:28:29.841, 12645 MiB, 3299 MiB, 66 %
2026/05/22 11:28:30.841, 12645 MiB, 3299 MiB, 34 %
2026/05/22 11:28:31.842, 12645 MiB, 3299 MiB, 3 %
2026/05/22 11:28:32.842, 12645 MiB, 3299 MiB, 34 %
2026/05/22 11:28:33.842, 12645 MiB, 3299 MiB, 100 %
2026/05/22 11:28:34.842, 12613 MiB, 3331 MiB, 3 %
2026/05/22 11:28:35.842, 12645 MiB, 3299 MiB, 100 %
2026/05/22 11:28:36.843, 12773 MiB, 3171 MiB, 3 %
2026/05/22 11:28:37.843, 13061 MiB, 2883 MiB, 5 %
2026/05/22 11:28:38.843, 13221 MiB, 2723 MiB, 100 %
2026/05/22 11:28:39.843, 13383 MiB, 2561 MiB, 3 %
2026/05/22 11:28:40.843, 13383 MiB, 2561 MiB, 3 %
2026/05/22 11:28:41.844, 13383 MiB, 2561 MiB, 6 %
2026/05/22 11:28:42.844, 12743 MiB, 3201 MiB, 30 %
2026/05/22 11:28:43.844, 12935 MiB, 3009 MiB, 48 %
2026/05/22 11:28:44.844, 13095 MiB, 2849 MiB, 29 %
2026/05/22 11:28:45.845, 13223 MiB, 2721 MiB, 100 %
2026/05/22 11:28:46.845, 13383 MiB, 2561 MiB, 0 %
2026/05/22 11:28:47.845, 13383 MiB, 2561 MiB, 1 %
2026/05/22 11:28:48.845, 12743 MiB, 3201 MiB, 24 %
2026/05/22 11:28:49.846, 12967 MiB, 2977 MiB, 9 %
