timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 03:42:28.295, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:28.796, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:29.296, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:29.796, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:30.296, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:30.796, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:31.296, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:31.797, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:32.297, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:32.797, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:33.297, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:33.797, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:34.298, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:34.798, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:35.298, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:35.798, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:36.298, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:36.799, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:37.299, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:37.799, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:38.299, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:38.799, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:39.300, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:39.800, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:40.300, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:40.800, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:41.300, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:41.801, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:42.301, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:42.801, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:43.301, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:43.801, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:44.301, 1082 MiB, 14862 MiB, 0 %
2026/05/22 03:42:44.802, 1082 MiB, 14862 MiB, 0 %
