kind,calls,bytes,total_ms,avg_ms
Device-to-Host,10683,1365068,26.455774000001085,0.002476436768698033
Device-to-Device,8379,73826304,10.429804000000539,0.0012447552213868647
Host-to-Device,10912,43648,8.809514999999333,0.0008073235887096163
