name,calls,total_ms,avg_ms
cuMemcpyDtoHAsync_v2,10679,6881.161719000031,0.6443638654368415
cudaLaunchKernel_v7000,424882,5006.403453000063,0.011783044358198424
cuMemAllocAsync,177502,4101.166798000036,0.023104904722200514
cuMemFreeAsync,164118,2826.597330999972,0.017222957451345812
cuMemsetD8Async,63632,551.3415090000004,0.008664532137918035
cudaStreamGetCaptureInfo_v2_v11030,129208,454.78279299999224,0.0035197727153116853
cudaEventRecord_v3020,64232,439.20304899999906,0.006837760757877679
cudaStreamWaitEvent_v3020,42656,292.793224999998,0.006864057225243764
cudaLaunchKernelExC_v11060,21328,263.29217200000096,0.012344906789197344
cuMemcpyDtoDAsync_v2,8494,147.43192599999935,0.017357184600894672
cuMemcpyHtoDAsync_v2,10912,111.00665799999982,0.010172897543988252
cuMemGetInfo_v2,17,1.116038,0.06564929411764707
