timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 13:29:49.085, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:29:54.089, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:29:59.089, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:30:04.090, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:30:09.090, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:30:14.091, 13081 MiB, 2863 MiB, 0 %
2026/05/22 13:30:19.091, 13177 MiB, 2767 MiB, 100 %
2026/05/22 13:30:24.091, 13241 MiB, 2703 MiB, 100 %
2026/05/22 13:30:29.092, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:30:34.092, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:30:39.093, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:30:44.093, 13241 MiB, 2703 MiB, 96 %
2026/05/22 13:30:49.094, 13241 MiB, 2703 MiB, 100 %
2026/05/22 13:30:54.094, 13209 MiB, 2735 MiB, 95 %
2026/05/22 13:30:59.094, 13241 MiB, 2703 MiB, 100 %
2026/05/22 13:31:04.095, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:09.095, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:14.096, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:19.096, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:24.096, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:29.097, 13177 MiB, 2767 MiB, 0 %
2026/05/22 13:31:34.097, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:39.098, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:44.098, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:49.099, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:54.099, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:31:59.099, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:04.100, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:09.100, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:14.101, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:19.101, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:24.101, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:29.102, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:34.102, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:39.103, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:44.103, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:49.104, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:54.104, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:32:59.105, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:04.105, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:09.105, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:14.106, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:19.106, 13209 MiB, 2735 MiB, 97 %
2026/05/22 13:33:24.107, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:29.107, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:34.107, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:39.108, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:44.108, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:49.109, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:54.109, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:33:59.109, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:04.110, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:09.110, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:14.111, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:19.111, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:24.111, 13241 MiB, 2703 MiB, 100 %
2026/05/22 13:34:29.112, 13209 MiB, 2735 MiB, 99 %
2026/05/22 13:34:34.112, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:39.113, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:44.113, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:49.114, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:54.114, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:34:59.115, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:04.115, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:09.115, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:14.116, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:19.116, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:24.117, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:29.117, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:34.117, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:39.118, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:44.118, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:49.119, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:54.119, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:35:59.119, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:04.120, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:09.120, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:14.121, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:19.121, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:24.122, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:29.122, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:34.122, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:39.123, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:44.123, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:49.124, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:36:54.124, 13177 MiB, 2767 MiB, 100 %
2026/05/22 13:36:59.124, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:37:04.125, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:37:09.125, 13209 MiB, 2735 MiB, 100 %
2026/05/22 13:37:14.126, 13209 MiB, 2735 MiB, 100 %
